Round  153, temp = 20.000000, fitness =  55
Round  154, temp = 20.000000, fitness =  55
Round  155, temp = 20.000000, fitness =  55
Round  156, temp = 20.000000, fitness =  55
Round  157, temp = 20.000000, fitness =  55
Round  158, temp = 20.000000, fitness =  55
Round  159, temp = 20.000000, fitness =  55
Round  160, temp = 20.000000, fitness =  55
Round  161, temp = 20.000000, fitness =  55
Round  162, temp = 20.000000, fitness =  55
Round  163, temp = 20.000000, fitness =  55
Round  164, temp = 20.000000, fitness =  55
Round  165, temp = 20.000000, fitness =  55
Round  166, temp = 20.000000, fitness =  55
Round  167, temp = 20.000000, fitness =  55
Round  168, temp = 20.000000, fitness =  55
Round  169, temp = 20.000000, fitness =  55
Round  170, temp = 20.000000, fitness =  55
Round  171, temp = 20.000000, fitness =  55
Round  172, temp = 20.000000, fitness =  55
Round  173, temp = 20.000000, fitness =  55
Round  174, temp = 20.000000, fitness =  55
Round  175, temp = 20.000000, fitness =  55
Round  176, temp = 20.000000, fitness =  55
Round  177, temp = 20.000000, fitness =  55
Round  178, temp = 20.000000, fitness =  55
Round  179, temp = 20.000000, fitness =  55
Round  180, temp = 20.000000, fitness =  55
Round  181, temp = 20.000000, fitness =  55
Round  182, temp = 20.000000, fitness =  55
Round  183, temp = 20.000000, fitness =  55
Round  184, temp = 20.000000, fitness =  55
Round  185, temp = 20.000000, fitness =  55
Round  186, temp = 20.000000, fitness =  55
Round  187, temp = 20.000000, fitness =  55
Round  188, temp = 20.000000, fitness =  55
Round  189, temp = 20.000000, fitness =  55
Round  190, temp = 20.000000, fitness =  55
Round  191, temp = 20.000000, fitness =  55
Round  192, temp = 20.000000, fitness =  56
Round  193, temp = 20.000000, fitness =  56
Round  194, temp = 20.000000, fitness =  56
Round  195, temp = 20.000000, fitness =  56
Round  196, temp = 20.000000, fitness =  56
Round  197, temp = 20.000000, fitness =  56
Round  198, temp = 20.000000, fitness =  56
Round  199, temp = 20.000000, fitness =  56
Round  200, temp = 20.000000, fitness =  56
Round  201, temp = 20.000000, fitness =  56
Round  202, temp = 20.000000, fitness =  56
Round  203, temp = 20.000000, fitness =  56
Round  204, temp = 20.000000, fitness =  56
Round  205, temp = 20.000000, fitness =  56
Round  206, temp = 20.000000, fitness =  56
Round  207, temp = 20.000000, fitness =  56
Round  208, temp = 20.000000, fitness =  56
Round  209, temp = 20.000000, fitness =  56
Round  210, temp = 20.000000, fitness =  56
Round  211, temp = 20.000000, fitness =  56
Round  212, temp = 20.000000, fitness =  56
Round  213, temp = 20.000000, fitness =  56
Round  214, temp = 20.000000, fitness =  56
Round  215, temp = 20.000000, fitness =  56
Round  216, temp = 20.000000, fitness =  56
Round  217, temp = 20.000000, fitness =  56
Round  218, temp = 20.000000, fitness =  56
Round  219, temp = 20.000000, fitness =  56
Round  220, temp = 20.000000, fitness =  56
Round  221, temp = 20.000000, fitness =  56
Round  222, temp = 20.000000, fitness =  56
Round  223, temp = 20.000000, fitness =  56
Round  224, temp = 20.000000, fitness =  56
Round  225, temp = 20.000000, fitness =  56
Round  226, temp = 20.000000, fitness =  56
Round  227, temp = 20.000000, fitness =  56
Round  228, temp = 20.000000, fitness =  56
Round  229, temp = 20.000000, fitness =  56
Round  230, temp = 20.000000, fitness =  56
Round  231, temp = 20.000000, fitness =  56
Round  232, temp = 20.000000, fitness =  56
Round  233, temp = 20.000000, fitness =  56
Round  234, temp = 20.000000, fitness =  56
Round  235, temp = 20.000000, fitness =  56
Round  236, temp = 20.000000, fitness =  56
Round  237, temp = 20.000000, fitness =  56
Round  238, temp = 20.000000, fitness =  56
Round  239, temp = 20.000000, fitness =  56
Round  240, temp = 20.000000, fitness =  56
Round  241, temp = 20.000000, fitness =  56
Round  242, temp = 20.000000, fitness =  56
Round  243, temp = 20.000000, fitness =  56
Round  244, temp = 20.000000, fitness =  56
Round  245, temp = 20.000000, fitness =  56
Round  246, temp = 20.000000, fitness =  56
Round  247, temp = 20.000000, fitness =  56
Round  248, temp = 20.000000, fitness =  56
Round  249, temp = 20.000000, fitness =  56
Round  250, temp = 20.000000, fitness =  56
Round  251, temp = 20.000000, fitness =  56
Round  252, temp = 20.000000, fitness =  56
Round  253, temp = 20.000000, fitness =  56
Round  254, temp = 20.000000, fitness =  56
Round  255, temp = 20.000000, fitness =  56
Round  256, temp = 20.000000, fitness =  56
Round  257, temp = 20.000000, fitness =  56
Round  258, temp = 20.000000, fitness =  56
Round  259, temp = 20.000000, fitness =  56
Round  260, temp = 20.000000, fitness =  56
Round  261, temp = 20.000000, fitness =  56
Round  262, temp = 20.000000, fitness =  56
Round  263, temp = 20.000000, fitness =  56
Round  264, temp = 20.000000, fitness =  56
Round  265, temp = 20.000000, fitness =  56
Round  266, temp = 20.000000, fitness =  56
Round  267, temp = 20.000000, fitness =  56
Round  268, temp = 20.000000, fitness =  56
Round  269, temp = 20.000000, fitness =  56
Round  270, temp = 20.000000, fitness =  56
Round  271, temp = 20.000000, fitness =  56
Round  272, temp = 20.000000, fitness =  56
