,runid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
42,43,52.0,52.0,52.0,52.0,53.0,54.0,54.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,58.0,59.0,60.0,61.0,61.0,61.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,64.0,65.0,65.0,65.0,66.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,70.0,71.0,71.0,71.0,72.0,72.0,73.0,73.0,73.0,73.0,74.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,76.0,77.0,77.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,84.0,84.0,84.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
43,44,46.0,47.0,47.0,48.0,49.0,49.0,50.0,50.0,51.0,51.0,51.0,52.0,53.0,53.0,54.0,55.0,55.0,55.0,55.0,56.0,57.0,58.0,59.0,59.0,59.0,60.0,61.0,61.0,61.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,65.0,65.0,66.0,67.0,68.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,71.0,72.0,73.0,74.0,75.0,75.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,78.0,78.0,78.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,84.0,84.0,85.0,85.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0
44,45,45.0,45.0,46.0,46.0,47.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0,49.0,50.0,51.0,52.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,56.0,56.0,56.0,57.0,57.0,57.0,58.0,58.0,59.0,59.0,60.0,61.0,62.0,63.0,63.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,66.0,67.0,68.0,69.0,70.0,70.0,70.0,70.0,71.0,71.0,72.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,74.0,74.0,75.0,75.0,76.0,76.0,76.0,76.0,77.0,77.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,79.0,80.0,81.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,84.0,84.0,85.0,85.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0
45,46,38.0,38.0,38.0,39.0,40.0,41.0,41.0,41.0,42.0,43.0,44.0,45.0,46.0,46.0,47.0,47.0,47.0,48.0,49.0,50.0,50.0,51.0,52.0,53.0,53.0,54.0,54.0,55.0,56.0,56.0,57.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,61.0,61.0,61.0,62.0,63.0,64.0,64.0,65.0,65.0,65.0,66.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0,72.0,72.0,73.0,73.0,74.0,74.0,74.0,74.0,74.0,74.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,78.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,86.0,86.0,86.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0
46,47,55.0,55.0,56.0,56.0,56.0,56.0,56.0,57.0,57.0,58.0,59.0,60.0,61.0,62.0,62.0,62.0,63.0,63.0,64.0,64.0,65.0,65.0,65.0,66.0,67.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,71.0,72.0,72.0,73.0,74.0,74.0,75.0,75.0,75.0,75.0,75.0,75.0,76.0,76.0,77.0,77.0,77.0,77.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,83.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,85.0,85.0,85.0,86.0,86.0,87.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
47,48,55.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,59.0,59.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,67.0,68.0,68.0,68.0,68.0,69.0,70.0,70.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,73.0,74.0,74.0,75.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,77.0,77.0,77.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,84.0,84.0,84.0,84.0,85.0,85.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
48,49,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,54.0,55.0,55.0,56.0,57.0,57.0,58.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,63.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,67.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,71.0,71.0,72.0,73.0,73.0,73.0,73.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,75.0,75.0,76.0,76.0,77.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,83.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,85.0,85.0,85.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
49,50,47.0,47.0,48.0,49.0,50.0,50.0,50.0,50.0,51.0,52.0,52.0,52.0,53.0,54.0,54.0,55.0,55.0,56.0,57.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,61.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,64.0,64.0,65.0,65.0,66.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,74.0,74.0,74.0,74.0,75.0,75.0,75.0,76.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,84.0,84.0,85.0,85.0,85.0,86.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0
50,51,53.0,54.0,54.0,55.0,56.0,57.0,57.0,58.0,59.0,60.0,61.0,61.0,61.0,61.0,62.0,63.0,63.0,64.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,70.0,71.0,71.0,72.0,72.0,73.0,73.0,73.0,74.0,74.0,75.0,76.0,76.0,76.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,78.0,79.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,85.0,85.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
0,avg,50.294117647058826,50.8235294117647,51.27450980392157,51.72549019607843,52.23529411764706,52.72549019607843,53.23529411764706,53.64705882352941,54.11764705882353,54.568627450980394,55.01960784313726,55.3921568627451,55.745098039215684,56.13725490196079,56.627450980392155,57.01960784313726,57.431372549019606,57.8235294117647,58.294117647058826,58.68627450980392,59.05882352941177,59.450980392156865,59.80392156862745,60.294117647058826,60.68627450980392,61.21568627450981,61.68627450980392,62.09803921568628,62.490196078431374,62.84313725490196,63.333333333333336,63.627450980392155,63.94117647058823,64.23529411764706,64.62745098039215,65.0,65.33333333333333,65.74509803921569,66.15686274509804,66.3921568627451,66.76470588235294,67.09803921568627,67.41176470588235,67.72549019607843,67.96078431372548,68.17647058823529,68.50980392156863,68.90196078431373,69.15686274509804,69.47058823529412,69.82352941176471,70.15686274509804,70.49019607843137,70.74509803921569,71.07843137254902,71.37254901960785,71.72549019607843,72.0,72.29411764705883,72.66666666666667,73.01960784313725,73.33333333333333,73.6470588235294,73.96078431372548,74.23529411764706,74.45098039215686,74.62745098039215,74.92156862745098,75.19607843137256,75.43137254901961,75.80392156862744,76.03921568627452,76.31372549019608,76.45098039215686,76.74509803921569,76.96078431372548,77.17647058823529,77.37254901960785,77.58823529411765,77.86274509803921,78.13725490196079,78.29411764705883,78.54901960784314,78.7843137254902,78.94117647058823,79.11764705882354,79.31372549019608,79.56862745098039,79.74509803921569,80.01960784313725,80.17647058823529,80.45098039215686,80.62745098039215,80.82352941176471,80.98039215686275,81.17647058823529,81.3529411764706,81.49019607843137,81.72549019607843,81.90196078431373,82.03921568627452,82.27450980392157,82.56862745098039,82.7843137254902,82.96078431372548,83.23529411764706,83.45098039215686,83.6470588235294,83.84313725490196,83.98039215686275,84.07843137254902,84.15686274509804,84.31372549019608,84.43137254901961,84.68627450980392,84.86274509803921,85.07843137254902,85.2156862745098,85.3529411764706,85.47058823529412,85.6470588235294,85.74509803921569,85.88235294117646,85.98039215686275,86.11764705882354,86.27450980392157,86.45098039215686,86.62745098039215,86.76470588235294,86.88235294117646,87.01960784313725,87.15686274509804,87.23529411764706,87.33333333333333,87.52941176470588,87.58823529411765,87.70588235294117,87.82352941176471,87.90196078431373,88.01960784313725,88.15686274509804,88.27450980392157,88.43137254901961,88.58823529411765,88.72549019607843,88.84313725490196,89.03921568627452,89.15686274509804,89.27450980392157,89.41176470588235,89.52941176470588,89.58823529411765,89.72549019607843,89.7843137254902,89.90196078431373,90.0,90.11764705882354,90.19607843137256,90.27450980392157,90.3921568627451,90.49019607843137,90.56862745098039,90.62745098039215,90.70588235294117,90.84313725490196,90.90196078431373,90.98039215686275,91.03921568627452,91.11764705882354,91.15686274509804,91.19607843137256,91.29411764705883,91.37254901960785,91.45098039215686,91.56862745098039,91.70588235294117,91.82352941176471,91.90196078431373,91.98039215686275,92.09803921568627,92.09803921568627,92.17647058823529,92.27450980392157,92.37254901960785,92.47058823529412,92.58823529411765,92.6470588235294,92.76470588235294,92.86274509803921,92.92156862745098,93.0,93.07843137254902,93.13725490196079,93.17647058823529,93.25490196078431,93.3529411764706,93.37254901960785,93.3921568627451,93.47058823529412,93.54901960784314,93.62745098039215
